entryDate,exitDate,regime,vixStdBand,sigma2SignalTag,sigma2Count60,sigma2Count20,quantity,entryUnderlying,exitUnderlying,entryRsi,entryIv,entryVix,entryVixMean,entryVixStd,vixThreshold,strike,entryCost,leapsExitValue,shortCallPremiumCollected,shortCallSettlements,shortCallCloseCost,shortCallNetCash,totalExitValue,pnl,pnlPct,ageDays,reason,buyReason,win
2022-01-24,2023-07-28,sigma1_weekly_1lot,1,,,,1,344.0702,377.3133,28.3738,0.2246,29.9,17.7464,7.2279,24.9744,325,6272.6006,6567.5779,0,0,0,0,6567.5779,294.9773,0.047026,550,force_exit_180d_to_expiry,"RSI(14) 28.3738 < 35; VIX 29.9 >= 24.9744; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-09-06,2023-09-06,sigma1_weekly_1lot,1,,,,1,286.2963,368.7138,33.4323,0.3437,26.91,18.184,7.3363,25.5203,265,7178.3588,11577.3565,0,0,0,0,11577.3565,4398.9976,0.612814,365,take_profit_60_12_to_15m,"RSI(14) 33.4323 < 35; VIX 26.91 >= 25.5203; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-09-26,2023-09-26,sigma1_weekly_1lot,1,,,,1,268.5285,349.0184,29.6178,0.353,32.26,18.2236,7.3432,25.5667,249,6834.4653,11064.7579,0,0,0,0,11064.7579,4230.2926,0.618965,365,take_profit_60_12_to_15m,"RSI(14) 29.6178 < 35; VIX 32.26 >= 25.5667; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-09-21,2023-10-09,sigma1_weekly_1lot,1,,,,1,277.5228,361.1874,34.8195,0.3527,27.99,18.2118,7.3372,25.549,257,7075.3997,11418.8879,0,0,0,0,11418.8879,4343.4882,0.613886,383,take_profit_60_12_to_15m,"RSI(14) 34.8195 < 35; VIX 27.99 >= 25.549; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2022-10-11,2023-10-11,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,257.1559,365.7791,32.4804,0.3593,33.63,18.2713,7.3717,33.0146,238,6646.5942,13604.806,0,0,0,0,13604.806,6958.2118,1.046884,365,take_profit_80_12_to_15m,"RSI(14) 32.4804 < 35; VIX 33.63 >= 33.0146; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2022-10-12,2023-10-12,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,1,257.0678,364.508,32.4298,0.3593,33.57,18.2765,7.3758,33.028,238,6640.3172,13480.1303,0,0,0,0,13480.1303,6839.8131,1.030043,365,take_profit_80_12_to_15m,"RSI(14) 32.4298 < 35; VIX 33.57 >= 33.028; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2024-08-06,2025-06-30,sigma1_weekly_1lot,1,,,,1,435.4464,549.5992,33.4583,0.2038,27.71,18.0948,7.0566,25.1514,414,7344.266,16163.6861,0,0,0,0,16163.6861,8819.4201,1.200858,328,take_profit_120_before_12m,"RSI(14) 33.4583 < 35; VIX 27.71 >= 25.1514; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2024-08-05,2025-08-05,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,431.325,558.1973,30.2739,0.2036,38.57,18.092,7.0557,32.2034,410,7275.6028,16882.6691,0,0,0,0,16882.6691,9607.0663,1.32045,365,take_profit_80_12_to_15m,"RSI(14) 30.2739 < 35; VIX 38.57 >= 32.2034; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2025-04-08,2025-08-08,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,3,3,2,414.0558,572.4244,23.3233,0.257,52.33,18.1177,6.9805,32.0786,388,16750.6048,42693.0278,0,0,0,0,42693.0278,25942.423,1.548745,122,take_profit_150_before_12m,"RSI(14) 23.3233 < 35; VIX 52.33 >= 32.0786; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2025-04-04,2025-08-12,sigma2_first_60d_1lot,2,first_in_60d,1,1,1,420.6339,577.9041,24.3389,0.2571,45.31,18.1001,6.9422,31.9846,394,8519.5885,21300.6525,0,0,0,0,21300.6525,12781.0641,1.500197,130,take_profit_150_before_12m,"RSI(14) 24.3389 < 35; VIX 45.31 >= 31.9846; first RSI<35 and VIX >= mean + 2*std signal in the last 60 trading days, buy 1 contract; no short call overlay",true
2025-04-07,2025-09-11,sigma2_repeat_20d_2lot,2,second_or_later_in_20d,2,2,2,421.649,581.9193,25.0236,0.2565,46.98,18.1082,6.958,32.0242,395,17048.5622,42711.628,0,0,0,0,42711.628,25663.0658,1.505292,157,take_profit_150_before_12m,"RSI(14) 25.0236 < 35; VIX 46.98 >= 32.0242; second or later RSI<35 and VIX >= mean + 2*std signal in the last 20 trading days, buy 2 contracts, or 1 if cash is insufficient for 2; no short call overlay",true
2025-04-03,2025-09-12,sigma1_weekly_1lot,1,,,,1,448.4891,584.4896,31.7204,0.2453,30.02,18.0925,6.9283,25.0208,422,8721.5206,19408.3942,0,0,0,0,19408.3942,10686.8736,1.225345,162,take_profit_120_before_12m,"RSI(14) 31.7204 < 35; VIX 30.02 >= 25.0208; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
2025-03-10,2025-10-02,sigma1_weekly_1lot,1,,,,1,469.7523,604.1887,28.5146,0.2299,27.86,18.0751,6.9377,25.0129,443,8723.8927,19224.0109,0,0,0,0,19224.0109,10500.1182,1.203605,206,take_profit_120_before_12m,"RSI(14) 28.5146 < 35; VIX 27.86 >= 25.0129; mean + 1*std <= VIX < mean + 2*std, buy 1 contract max once per week; no short call overlay",true
