date,strategyNormalized,nasdaqCompositeNormalized,sp500Normalized
2022-11-07,0.51430279,0.71271608,0.85201434
2022-11-08,0.526483,0.71620263,0.85678382
2022-11-09,0.48702304,0.69845777,0.83898166
2022-11-10,0.63502615,0.74979593,0.88549018
2022-11-11,0.67430526,0.76390786,0.89367277
2022-11-14,0.65215546,0.75533259,0.88568711
2022-11-15,0.68187638,0.76627447,0.8934042
2022-11-16,0.65127449,0.75448528,0.88603179
2022-11-17,0.6456157,0.75187444,0.88329455
2022-11-18,0.64430142,0.75194863,0.88749778
2022-11-21,0.62001163,0.74374849,0.88405102
2022-11-22,0.64946268,0.75386125,0.89605642
2022-11-23,0.67054419,0.7613436,0.90135631
2022-11-25,0.65424788,0.75736597,0.90110119
2022-11-28,0.61975126,0.74543441,0.88718441
2022-11-29,0.60179661,0.74100075,0.88577213
2022-11-30,0.70301448,0.77366775,0.91318489
2022-12-01,0.7040031,0.77464261,0.91239258
2022-12-02,0.69366149,0.77322924,0.91130259
2022-12-05,0.65303415,0.75828213,0.89499554
2022-12-06,0.60909862,0.74309949,0.88210833
2022-12-07,0.59689548,0.73929862,0.88046552
2022-12-08,0.62036481,0.74762696,0.88708818
2022-12-09,0.60575719,0.74240667,0.88056846
2022-12-12,0.62880931,0.75179216,0.89314236
2022-12-13,0.65061459,0.75942017,0.89965307
2022-12-14,0.63346856,0.75362374,0.89420771
2022-12-15,0.5650969,0.72931275,0.87192256
2022-12-16,0.54444611,0.72222101,0.8622113
2022-12-19,0.51646821,0.71146874,0.85444492
2022-12-20,0.51396911,0.71154161,0.85533127
2022-12-21,0.53811634,0.72248817,0.86804833
2022-12-22,0.49435625,0.70675238,0.85550356
2022-12-23,0.49708915,0.70821904,0.86052374
2022-12-27,0.46926114,0.69846185,0.85703894
2022-12-28,0.44761354,0.68902103,0.84673679
2022-12-29,0.48756146,0.70688526,0.86152194
2022-12-30,0.48563594,0.70610206,0.85933303
2023-01-03,0.47076482,0.70073873,0.85589523
2023-01-04,0.47745973,0.70558119,0.8623478
2023-01-05,0.45123175,0.69522428,0.8523053
2023-01-06,0.49503909,0.71303792,0.87177262
2023-01-09,0.50363253,0.7175148,0.87110342
2023-01-10,0.51770932,0.72473198,0.87718218
2023-01-11,0.54957584,0.73748522,0.88845347
2023-01-12,0.55832298,0.74216917,0.89148834
2023-01-13,0.57088984,0.74743538,0.8950515
2023-01-17,0.56918307,0.74851143,0.8932341
2023-01-18,0.54297558,0.73919472,0.87933306
2023-01-19,0.52204524,0.73212861,0.87261641
2023-01-20,0.57503611,0.75156882,0.88912491
2023-01-23,0.6187705,0.76667925,0.89968891
2023-01-24,0.61109048,0.76464587,0.89904878
2023-01-25,0.60523835,0.76323527,0.8988854
2023-01-26,0.64595919,0.7766638,0.9087802
2023-01-27,0.66780619,0.78403751,0.91104746
2023-01-30,0.6196902,0.76866263,0.89923232
2023-01-31,0.64936046,0.78153057,0.91239931
2023-02-01,0.69612707,0.79716655,0.92193598
2023-02-02,0.78866863,0.82310614,0.93548786
2023-02-03,0.74140403,0.81002704,0.92580125
2023-02-06,0.71172876,0.80196519,0.9201164
2023-02-07,0.76376869,0.8172348,0.93196061
2023-02-08,0.71745794,0.80352153,0.92163381
2023-02-09,0.6942697,0.79536257,0.91349597
2023-02-10,0.67599261,0.79054165,0.91550133
2023-02-13,0.71062317,0.80225797,0.92598255
2023-02-14,0.725097,0.80686978,0.92572289
2023-02-15,0.74376838,0.81432038,0.92829008
2023-02-16,0.69385686,0.799832,0.91549013
2023-02-17,0.67565727,0.79520669,0.9129566
2023-02-21,0.61479377,0.77530709,0.89465982
2023-02-22,0.61500935,0.77630356,0.89325203
2023-02-23,0.63351823,0.78192527,0.89801255
2023-02-24,0.59367717,0.76873892,0.8885497
2023-02-27,0.6028275,0.77359897,0.89128021
2023-02-28,0.59811707,0.77282716,0.88857428
2023-03-01,0.57964066,0.76769594,0.88437554
2023-03-02,0.595996,0.77332912,0.89108104
2023-03-03,0.64177834,0.78857777,0.90546998
2023-03-06,0.64047052,0.78768257,0.90609219
2023-03-07,0.61073971,0.77787274,0.89220459
2023-03-08,0.61690662,0.78095377,0.89346688
2023-03-09,0.57773134,0.76492112,0.87697405
2023-03-10,0.54363046,0.75146492,0.8642771
2023-03-13,0.55558183,0.75483472,0.86297225
2023-03-14,0.60444,0.77097937,0.87719115
2023-03-15,0.61427482,0.77137736,0.87106758
2023-03-16,0.67484293,0.79048499,0.88636527
2023-03-17,0.65786684,0.78463118,0.87659801
2023-03-20,0.6627387,0.78766906,0.88441586
2023-03-21,0.69699483,0.80012076,0.89589752
2023-03-22,0.66149048,0.78729261,0.88114816
2023-03-23,0.6894644,0.79521552,0.88377797
2023-03-24,0.69728208,0.79768194,0.88876231
2023-03-27,0.67456544,0.79396336,0.89022606
2023-03-28,0.65997939,0.79040402,0.88882498
2023-03-29,0.70572039,0.80458209,0.90147942
2023-03-30,0.72925255,0.81046687,0.90663162
2023-03-31,0.77480512,0.82452893,0.91972025
2023-04-03,0.76374889,0.82233907,0.92312215
