date,equity
2022-04-04,13324.190833607976
2022-04-05,13324.190833607976
2022-04-06,13324.190833607976
2022-04-07,13324.190833607976
2022-04-08,13324.190833607976
2022-04-11,13324.190833607976
2022-04-12,13324.190833607976
2022-04-13,13324.190833607976
2022-04-14,13324.190833607976
2022-04-18,13324.190833607976
2022-04-19,13324.190833607976
2022-04-20,13324.190833607976
2022-04-21,13324.190833607976
2022-04-22,13324.190833607976
2022-04-25,13324.190833607976
2022-04-26,13324.190833607976
2022-04-27,13324.190833607976
2022-04-28,13324.190833607976
2022-04-29,13324.190833607976
2022-05-02,13324.190833607976
2022-05-03,13324.190833607976
2022-05-04,13324.190833607976
2022-05-05,13324.190833607976
2022-05-06,13324.190833607976
2022-05-09,13324.190833607976
2022-05-10,13324.190833607976
2022-05-11,13324.190833607976
2022-05-12,13324.190833607976
2022-05-13,13324.190833607976
2022-05-16,13324.190833607976
2022-05-17,13324.190833607976
2022-05-18,13324.190833607976
2022-05-19,13324.190833607976
2022-05-20,13324.190833607976
2022-05-23,13324.190833607976
2022-05-24,13324.190833607976
2022-05-25,13324.190833607976
2022-05-26,13324.190833607976
2022-05-27,13324.190833607976
2022-05-31,13324.190833607976
2022-06-01,13324.190833607976
2022-06-02,13324.190833607976
2022-06-03,13324.190833607976
2022-06-06,13324.190833607976
2022-06-07,13324.190833607976
2022-06-08,13324.190833607976
2022-06-09,13324.190833607976
2022-06-10,13324.190833607976
2022-06-13,13324.190833607976
2022-06-14,13324.190833607976
2022-06-15,13324.190833607976
2022-06-16,13324.190833607976
2022-06-17,13324.190833607976
2022-06-21,13324.190833607976
2022-06-22,13324.190833607976
2022-06-23,13324.190833607976
2022-06-24,13324.190833607976
2022-06-27,13324.190833607976
2022-06-28,13324.190833607976
2022-06-29,13324.190833607976
2022-06-30,13324.190833607976
2022-07-01,13324.190833607976
2022-07-05,13324.190833607976
2022-07-06,13324.190833607976
2022-07-07,13324.190833607976
2022-07-08,13324.190833607976
2022-07-11,13324.190833607976
2022-07-12,13324.190833607976
2022-07-13,13324.190833607976
2022-07-14,13324.190833607976
2022-07-15,13324.190833607976
2022-07-18,13324.190833607976
2022-07-19,13324.190833607976
2022-07-20,13324.190833607976
2022-07-21,13324.190833607976
2022-07-22,13324.190833607976
2022-07-25,13324.190833607976
2022-07-26,13324.190833607976
2022-07-27,13324.190833607976
2022-07-28,13324.190833607976
2022-07-29,13324.190833607976
2022-08-01,13324.190833607976
2022-08-02,13324.190833607976
2022-08-03,13324.190833607976
2022-08-04,13324.190833607976
2022-08-05,13324.190833607976
2022-08-08,13324.190833607976
2022-08-09,13324.190833607976
2022-08-10,13324.190833607976
2022-08-11,13324.190833607976
2022-08-12,13324.190833607976
2022-08-15,13324.190833607976
2022-08-16,13324.190833607976
2022-08-17,13324.190833607976
2022-08-18,13324.190833607976
2022-08-19,13324.190833607976
2022-08-22,13324.190833607976
2022-08-23,13324.190833607976
2022-08-24,13324.190833607976
2022-08-25,13324.190833607976
2022-08-26,13324.190833607976
2022-08-29,13324.190833607976
2022-08-30,13324.190833607976
2022-08-31,13324.190833607976
2022-09-01,13324.190833607976
2022-09-02,13324.190833607976
2022-09-06,13324.190833607976
2022-09-07,13324.190833607976
2022-09-08,13324.190833607976
2022-09-09,13324.190833607976
2022-09-12,13324.190833607976
2022-09-13,13324.190833607976
2022-09-14,13324.190833607976
2022-09-15,13324.190833607976
2022-09-16,13324.190833607976
2022-09-19,13324.190833607976
2022-09-20,13324.190833607976
2022-09-21,13324.190833607976
2022-09-22,13324.190833607976
2022-09-23,13324.190833607976
2022-09-26,13324.190833607976
2022-09-27,13324.190833607976
2022-09-28,13324.190833607976
2022-09-29,13324.190833607976
2022-09-30,13324.190833607976
2022-10-03,13324.190833607976
2022-10-04,13324.190833607976
2022-10-05,13324.190833607976
2022-10-06,13324.190833607976
2022-10-07,13324.190833607976
2022-10-10,13324.190833607976
