strategy,scenario,entry_date,exit_date,contract_id,expiration,strike,quantity,regime,entry_delta,entry_dte,entry_fill,entry_cost,exit_fill,exit_proceeds,short_net_cash,total_exit_value,pnl,pnl_pct,reason,age_days
dte_v1,ask_buy_bid_sell,2024-08-05,2024-12-17,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_edge_1lot,0.7032300233840942,682,76.5,7650.0,144.47000000000003,14447.000000000004,0.0,14447.000000000004,6797.000000000004,0.8884967320261443,take_profit_30_dte_457_548,134
dte_v1,ask_buy_bid_sell,2025-03-10,2025-06-18,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_edge_1lot,0.7022500038146973,648,85.98000000000002,8598.000000000002,119.0,11900.0,0.0,11900.0,3301.999999999998,0.3840428006513139,take_profit_30_dte_457_548,100
dte_v1,ask_buy_bid_sell,2025-04-04,2025-07-16,QQQ270115C00405000,2027-01-15,405.0,1,sigma2_edge_1lot,0.7037100195884705,651,81.0,8100.0,182.87,18287.0,0.0,18287.0,10187.0,1.2576543209876543,take_profit_30_dte_457_548,103
dte_v1,ask_buy_bid_sell,2025-04-03,2025-07-16,QQQ270115C00435000,2027-01-15,435.0,1,sigma1_edge_1lot,0.7021600008010864,652,80.5,8050.0,158.43,15843.0,0.0,15843.0,7793.0,0.9680745341614907,take_profit_30_dte_457_548,104
deployed,mid,2021-03-04,2021-11-18,QQQ230120C00270000,2023-01-20,270.0,1,sigma1_weekly_1lot,0.6935200095176697,687,63.36,6336.0,138.82,13882.0,155.0,14037.0,7701.0,1.215435606060606,take_profit_before_12m,259
deployed,mid,2021-05-12,2021-11-19,QQQ230120C00280000,2023-01-20,280.0,1,sigma1_weekly_1lot,0.7078499794006348,618,60.08,6008.0,132.235,13223.500000000002,99.00000000000001,13322.500000000002,7314.500000000002,1.2174600532623172,take_profit_before_12m,191
deployed,mid,2022-02-23,2023-06-13,QQQ231215C00290000,2023-12-15,290.0,1,sigma1_weekly_1lot,0.6979299783706665,660,72.38499999999999,7238.499999999999,83.52000000000001,8352.000000000002,1112.0,9464.000000000002,2225.5000000000027,0.3074532016301723,take_profit_16_to_18m,475
deployed,mid,2022-03-07,2023-06-14,QQQ231215C00285000,2023-12-15,285.0,1,sigma2_first_60d_1lot,0.7011799812316895,648,71.56,7156.0,90.78,9078.0,351.50000000000273,9429.500000000004,2273.5000000000036,0.3177054220234774,take_profit_16_to_18m,464
deployed,mid,2022-01-21,2023-06-20,QQQ231215C00310000,2023-12-15,310.0,1,sigma1_weekly_1lot,0.6972000002861023,693,76.955,7695.5,69.025,6902.500000000001,1331.5,8234.0,538.5,0.06997595997660966,force_exit_180_dte,515
deployed,mid,2022-01-24,2023-07-24,QQQ240119C00310000,2024-01-19,310.0,1,sigma1_weekly_1lot,0.7002599835395813,725,78.99000000000001,7899.000000000001,77.315,7731.5,1244.5,8976.0,1076.999999999999,0.1363463729586023,force_exit_180_dte,546
deployed,mid,2022-09-21,2023-09-29,QQQ241220C00260000,2024-12-20,260.0,1,sigma1_weekly_1lot,0.7027400135993958,821,69.475,6947.499999999999,119.43,11943.0,625.0,12568.0,5620.500000000001,0.808996041741634,take_profit_12_to_15m,373
deployed,mid,2024-08-06,2025-08-08,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_weekly_1lot,0.7054200172424316,681,71.41,7141.0,162.31,16231.0,-2717.499999999999,13513.5,6372.5,0.8923820193250245,take_profit_12_to_15m,367
deployed,mid,2024-08-05,2025-08-08,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_first_60d_1lot,0.7032300233840942,682,74.25,7425.0,166.54,16654.0,-2529.999999999999,14124.0,6699.0,0.9022222222222223,take_profit_12_to_15m,368
deployed,mid,2025-04-03,2025-08-12,QQQ270617C00440000,2027-06-17,440.0,1,sigma1_weekly_1lot,0.7016500234603882,805,83.25,8325.0,183.5,18350.0,214.5,18564.5,10239.5,1.2299699699699698,take_profit_before_12m,131
deployed,mid,2025-04-04,2025-09-15,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_first_60d_1lot,0.7023199796676636,623,76.74000000000001,7674.000000000001,211.155,21115.5,-1888.9999999999982,19226.5,11552.5,1.5054078707323426,take_profit_before_12m,164
deployed,mid,2025-04-07,2025-09-18,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_repeat_20d_2lot,0.6991999745368958,620,80.0,8000.0,215.28500000000003,21528.500000000004,-1521.0000000000027,20007.5,12007.5,1.5009375,take_profit_before_12m,164
deployed,mid,2025-03-10,2025-10-06,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_weekly_1lot,0.7022500038146973,648,83.74000000000001,8374.0,184.0,18400.0,410.0,18810.0,10436.0,1.2462383568187247,take_profit_before_12m,210
deployed,spread_25pct_half,2021-05-12,2021-11-19,QQQ230120C00280000,2023-01-20,280.0,1,sigma1_weekly_1lot,0.7078499794006348,618,60.4225,6042.25,131.76875,13176.875000000002,96.00000000000001,13272.875000000002,7230.625000000002,1.1966775621664119,take_profit_before_12m,191
deployed,spread_25pct_half,2021-03-04,2021-11-19,QQQ230120C00270000,2023-01-20,270.0,1,sigma1_weekly_1lot,0.6935200095176697,687,63.95,6395.0,140.53875,14053.875,150.75,14204.625,7809.625,1.2212079749804534,take_profit_before_12m,260
deployed,spread_25pct_half,2022-03-07,2023-06-14,QQQ231215C00285000,2023-12-15,285.0,1,sigma2_first_60d_1lot,0.7011799812316895,648,71.855,7185.5,90.72,9072.0,345.12500000000273,9417.125000000004,2231.6250000000036,0.3105733769396706,take_profit_16_to_18m,464
deployed,spread_25pct_half,2022-02-23,2023-06-14,QQQ231215C00290000,2023-12-15,290.0,1,sigma1_weekly_1lot,0.6979299783706665,660,72.75124999999998,7275.124999999998,86.19125000000001,8619.125000000002,1089.5,9708.625000000002,2433.5000000000036,0.3344959708596078,take_profit_16_to_18m,476
deployed,spread_25pct_half,2022-01-21,2023-06-20,QQQ231215C00310000,2023-12-15,310.0,1,sigma1_weekly_1lot,0.6972000002861023,693,77.43125,7743.125000000001,68.98625000000001,6898.625000000001,1323.625,8222.25,479.1249999999991,0.06187747195092408,force_exit_180_dte,515
deployed,spread_25pct_half,2022-01-24,2023-07-24,QQQ240119C00310000,2024-01-19,310.0,1,sigma1_weekly_1lot,0.7002599835395813,725,79.465,7946.5,77.28125,7728.125,1235.875,8964.0,1017.5,0.1280437928647833,force_exit_180_dte,546
deployed,spread_25pct_half,2022-09-21,2023-09-29,QQQ241220C00260000,2024-12-20,260.0,1,sigma1_weekly_1lot,0.7027400135993958,821,69.95375,6995.375,119.28500000000001,11928.500000000002,621.5,12550.000000000002,5554.625000000002,0.7940424923610245,take_profit_12_to_15m,373
deployed,spread_25pct_half,2024-08-06,2025-08-08,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_weekly_1lot,0.7054200172424316,681,72.01249999999999,7201.249999999999,161.825,16182.499999999998,-2723.374999999999,13459.125,6257.875000000001,0.8689984377712205,take_profit_12_to_15m,367
deployed,spread_25pct_half,2024-08-05,2025-08-08,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_first_60d_1lot,0.7032300233840942,682,74.8125,7481.25,166.055,16605.5,-2536.249999999999,14069.25,6588.0,0.8806015037593986,take_profit_12_to_15m,368
deployed,spread_25pct_half,2025-04-03,2025-08-12,QQQ270617C00440000,2027-06-17,440.0,1,sigma1_weekly_1lot,0.7016500234603882,805,83.8125,8381.25,182.875,18287.5,210.875,18498.375,10117.125,1.2071140939597313,take_profit_before_12m,131
deployed,spread_25pct_half,2025-04-04,2025-09-18,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_first_60d_1lot,0.7023199796676636,623,77.22500000000001,7722.500000000001,214.84375000000003,21484.375000000004,-1893.6249999999982,19590.750000000007,11868.250000000007,1.53684040142441,take_profit_before_12m,167
deployed,spread_25pct_half,2025-04-07,2025-09-19,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_repeat_20d_2lot,0.6991999745368958,620,80.625,8062.5,218.8275,21882.75,-1527.0000000000027,20355.749999999996,12293.249999999996,1.5247441860465112,take_profit_before_12m,165
deployed,spread_25pct_half,2025-03-10,2025-10-06,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_weekly_1lot,0.7022500038146973,648,84.30000000000001,8430.000000000002,183.375,18337.5,405.0,18742.5,10312.499999999998,1.2233096085409247,take_profit_before_12m,210
deployed,spread_50pct_half,2021-03-04,2021-11-19,QQQ230120C00270000,2023-01-20,270.0,1,sigma1_weekly_1lot,0.6935200095176697,687,64.53999999999999,6453.999999999999,140.0725,14007.25,146.5,14153.75,7699.750000000001,1.1930198326619155,take_profit_before_12m,260
deployed,spread_50pct_half,2021-05-12,2021-12-27,QQQ230120C00280000,2023-01-20,280.0,1,sigma1_weekly_1lot,0.7078499794006348,618,60.765,6076.5,131.85250000000002,13185.250000000002,130.50000000000003,13315.750000000002,7239.250000000002,1.1913519295647168,take_profit_before_12m,229
deployed,spread_50pct_half,2022-03-07,2023-06-14,QQQ231215C00285000,2023-12-15,285.0,1,sigma2_first_60d_1lot,0.7011799812316895,648,72.15,7215.000000000001,90.66,9066.0,338.75000000000273,9404.750000000004,2189.7500000000027,0.3034996534996539,take_profit_16_to_18m,464
deployed,spread_50pct_half,2022-02-23,2023-06-14,QQQ231215C00290000,2023-12-15,290.0,1,sigma1_weekly_1lot,0.6979299783706665,660,73.11749999999999,7311.749999999999,86.1075,8610.75,1082.0,9692.75,2381.000000000001,0.32564023660546404,take_profit_16_to_18m,476
deployed,spread_50pct_half,2022-01-21,2023-06-20,QQQ231215C00310000,2023-12-15,310.0,1,sigma1_weekly_1lot,0.6972000002861023,693,77.9075,7790.75,68.9475,6894.750000000001,1315.75,8210.5,419.75,0.05387799634181567,force_exit_180_dte,515
deployed,spread_50pct_half,2022-09-23,2023-06-30,QQQ240621C00255000,2024-06-21,255.0,1,sigma1_weekly_1lot,0.7005000114440918,637,61.239999999999995,6123.999999999999,129.31500000000003,12931.500000000002,526.75,13458.250000000002,7334.250000000003,1.1976241018941876,take_profit_before_12m,280
deployed,spread_50pct_half,2022-01-24,2023-07-24,QQQ240119C00310000,2024-01-19,310.0,1,sigma1_weekly_1lot,0.7002599835395813,725,79.94000000000001,7994.000000000001,77.2475,7724.75,1227.25,8952.0,957.9999999999991,0.11983987990993228,force_exit_180_dte,546
deployed,spread_50pct_half,2024-08-06,2025-08-08,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_weekly_1lot,0.7054200172424316,681,72.615,7261.499999999999,161.34,16134.0,-2729.249999999999,13404.75,6143.250000000001,0.8460028919644704,take_profit_12_to_15m,367
deployed,spread_50pct_half,2024-08-05,2025-08-08,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_first_60d_1lot,0.7032300233840942,682,75.375,7537.5,165.57,16557.0,-2542.499999999999,14014.5,6477.0,0.8593034825870647,take_profit_12_to_15m,368
deployed,spread_50pct_half,2025-04-03,2025-09-12,QQQ270617C00440000,2027-06-17,440.0,1,sigma1_weekly_1lot,0.7016500234603882,805,84.375,8437.5,185.75,18575.0,215.0,18790.0,10352.5,1.226962962962963,take_profit_before_12m,162
deployed,spread_50pct_half,2025-04-04,2025-09-18,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_first_60d_1lot,0.7023199796676636,623,77.71000000000001,7771.000000000001,214.40250000000003,21440.250000000004,-1900.7499999999982,19539.500000000007,11768.500000000007,1.5144125595161504,take_profit_before_12m,167
deployed,spread_50pct_half,2025-04-07,2025-09-19,QQQ261218C00404780,2026-12-18,404.78,1,sigma2_repeat_20d_2lot,0.6991999745368958,620,81.25,8125.0,218.39499999999998,21839.5,-1532.0000000000027,20307.499999999996,12182.499999999996,1.4993846153846149,take_profit_before_12m,165
deployed,spread_50pct_half,2025-03-10,2025-10-06,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_weekly_1lot,0.7022500038146973,648,84.86000000000001,8486.000000000002,182.75,18275.0,400.0,18675.0,10188.999999999998,1.2006834786707512,take_profit_before_12m,210
deployed,ask_buy_bid_sell,2021-03-04,2022-03-28,QQQ230120C00270000,2023-01-20,270.0,1,sigma1_weekly_1lot,0.6935200095176697,687,65.72,6572.0,104.09,10409.0,303.0,10712.0,4140.0,0.6299452221545954,take_profit_12_to_15m,389
deployed,ask_buy_bid_sell,2021-05-12,2022-07-25,QQQ230120C00280000,2023-01-20,280.0,1,sigma1_weekly_1lot,0.7078499794006348,618,61.45,6145.0,38.41,3840.9999999999995,706.0,4547.0,-1598.0,-0.2600488201790073,force_exit_180_dte,439
deployed,ask_buy_bid_sell,2022-01-25,2023-06-20,QQQ231215C00305000,2023-12-15,305.0,1,sigma1_weekly_1lot,0.6963300108909607,689,75.47,7547.0,73.23,7323.0,1170.0,8493.0,946.0,0.12534782032595726,force_exit_180_dte,511
deployed,ask_buy_bid_sell,2022-04-26,2023-07-13,QQQ240119C00280000,2024-01-19,280.0,1,sigma1_weekly_1lot,0.6999199986457825,633,70.56,7056.0,107.54,10754.0,972.0,11726.0,4670.0,0.6618480725623583,take_profit_12_to_15m,443
deployed,ask_buy_bid_sell,2022-09-21,2023-09-29,QQQ241220C00260000,2024-12-20,260.0,1,sigma1_weekly_1lot,0.7027400135993958,821,71.38999999999999,7138.999999999998,118.85,11885.0,611.0,12496.0,5357.000000000002,0.750385208012327,take_profit_12_to_15m,373
deployed,ask_buy_bid_sell,2024-08-06,2025-08-08,QQQ260618C00434780,2026-06-18,434.78,1,sigma1_weekly_1lot,0.7054200172424316,681,73.82,7381.999999999999,160.37,16037.0,-2740.999999999999,13296.0,5914.000000000001,0.8011379030073154,take_profit_12_to_15m,367
deployed,ask_buy_bid_sell,2024-08-05,2025-08-08,QQQ260618C00430000,2026-06-18,430.0,1,sigma2_first_60d_1lot,0.7032300233840942,682,76.5,7650.0,164.6,16460.0,-2554.999999999999,13905.0,6255.0,0.8176470588235294,take_profit_12_to_15m,368
deployed,ask_buy_bid_sell,2025-04-03,2025-09-12,QQQ270617C00440000,2027-06-17,440.0,1,sigma1_weekly_1lot,0.7016500234603882,805,85.5,8550.0,184.5,18450.0,207.0,18657.0,10107.0,1.1821052631578945,take_profit_before_12m,162
deployed,ask_buy_bid_sell,2025-03-10,2025-10-08,QQQ261218C00454780,2026-12-18,454.78,1,sigma1_weekly_1lot,0.7022500038146973,648,85.98000000000002,8598.000000000002,185.0,18500.0,390.0,18890.0,10291.999999999998,1.1970225633868337,take_profit_before_12m,212
